"Story","Title","Result","Date","Stability","Duration (s)"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo Elements","SUCCESS","2024-07-22T20:03:53.1124105-05:00[America/Bogota]","0.0","53.21"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo textbox","ERROR","2024-07-23T07:36:01.9323029-05:00[America/Bogota]","0.0","48.97"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo checkbox","ERROR","2024-07-23T07:36:51.7095809-05:00[America/Bogota]","0.0","50.21"
