"Story","Title","Result","Date","Stability","Duration (s)"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo textbox","ERROR","2024-07-22T20:59:00.2096933-05:00[America/Bogota]","0.0","0.27"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo checkbox","ERROR","2024-07-22T20:59:00.7753539-05:00[America/Bogota]","0.0","0.69"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo textbox","ERROR","2024-07-23T07:36:01.9323029-05:00[America/Bogota]","0.0","48.97"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo checkbox","ERROR","2024-07-23T07:36:51.7095809-05:00[America/Bogota]","0.0","50.21"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo radiobutton","SUCCESS","2024-07-23T07:37:42.7095083-05:00[America/Bogota]","0.0","20.27"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo weebelements","SUCCESS","2024-07-23T07:38:03.8197402-05:00[America/Bogota]","0.0","38.87"
