"Story","Title","Result","Date","Stability","Duration (s)"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo textbox","SUCCESS","2024-07-22T23:15:39.7938365-05:00[America/Bogota]","0.0","31.98"
"Navegación exitosa a una página en DemoQA","Interacción exitosa con el módulo checkbox","ERROR","2024-07-22T23:16:12.4641343-05:00[America/Bogota]","0.0","40.64"
